sweep_rank,sweep_tier,title,year,venue,authors,doi,url,cited_by_count,source_queries,concepts,category,relevance_score,abstract_summary,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,hostile_reason,openalex_id
592,landscape_1000,Heterogeneous Multi-Robot Cooperation,1994,DSpace@MIT (Massachusetts Institute of Technology),Lynne E. Parker,,http://hdl.handle.net/1721.1/7056,217,cross embodiment robot learning; morphology transfer robot learning; multi robot multi embodiment learning; robot dynamics transfer across morphologies; robot embodiment action space; robot skill transfer across embodiments,Robot; Mobile robot; Humancomputer interaction; Action selection; Computer science; Variety (cybernetics); Distributed computing; Fault tolerance; Software architecture; Alliance,cross-embodiment and morphology transfer,38.384,"This report addresses the problem of achieving cooperation within small- to medium-sized teams of heterogeneous mobile robots. I describe a software architecture I have developed, called ALLIANCE, that facilitates robust, fault tolerant, reliable, and adaptive cooperative control. In addition, an extended version of ALLIANCE, called","Transfer skills when kinematics, dynamics, or morphology differ.","Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. A static morphology descriptor is enough to decode actions. Transfer error is mostly a policy-generalization problem.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of morphology-aware transfer; leaves open local task-effect normalization rules.,A nonlearned local renormalization rule with a checkable preservation claim.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W1550326316
593,landscape_1000,Sim-and-Real Reinforcement Learning for Manipulation: A Consensus-based Approach,2023,,Wenxing Liu; Hanlin Niu; Wei Pan; Guido Herrmann; Joaquin Garcia Carrasco,https://doi.org/10.1109/icra48891.2023.10161062,https://doi.org/10.1109/icra48891.2023.10161062,10,sim to real robot manipulation policy,Reinforcement learning; Computer science; Robot; Artificial intelligence; Robot manipulator; Training (meteorology); Vergence (optics); Physics; Meteorology,sim-to-real transfer,38.348,"Sim-and-real training is a promising alternative to sim-to-real training for robot manipulations. However, the current sim-and-real training is neither efficient, i.e., slow con-vergence to the optimal policy, nor effective, i.e., sizeable real-world robot data. Given limited time and hardware budgets, the performance of sim-and-real training",Make policies trained in simulation work on physical robots.,Simulator variation or adaptation meant to make a learned policy robust on real hardware.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W4383109464
594,landscape_1000,Gen2Sim: Scaling up Robot Learning in Simulation with Generative Models,2024,,Pushkal Katara; Zhou Xian; Katerina Fragkiadaki,https://doi.org/10.1109/icra57147.2024.10610566,https://doi.org/10.1109/icra57147.2024.10610566,18,generalist robot policy manipulation,Computer science; Scaling; Generative grammar; Generative model; Artificial intelligence; Robot; Machine learning; Mathematics; Geometry,robot foundation policies,38.344,Generalist robot manipulators need to learn a wide variety of manipulation skills across diverse environments. Current robot training pipelines rely on humans to provide kinesthetic demonstrations or to program simulation environments and to code up reward functions for reinforcement learning. Such human involvement is an,"Scale robot policies across tasks, datasets, and robot embodiments.",Denoising or score-based sequence model over robot actions.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Robot identity tokens and data scale can absorb action-map mismatch. A shared action tensor can be normalized independently of local controllability.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Dataset robot mix and tokenizer design.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Learned robot token hides action incompatibility.,Reduces novelty of large cross-robot policies; challenges claims that data scale alone solves action transfer.,Whether the same model output has comparable physical meaning on robots with different local controllability.,Closest empirical threat: may claim multi-robot data learns embodiment compensation.,https://openalex.org/W4401413701
595,landscape_1000,Safety Concerns Emerging from Robots Navigating in Crowded Pedestrian Areas,2021,International Journal of Social Robotics,Pericle Salvini; Diego Paez-Granados; Aude Billard,https://doi.org/10.1007/s12369-021-00796-4,https://doi.org/10.1007/s12369-021-00796-4,61,cross-embodiment robot policy,Robot; Patrolling; Crowds; Computer science; Pedestrian; Mobile robot; Humancomputer interaction; Computer security; Drone; Robotics,contact-rich manipulation,38.177,"Abstract The slogan robots will pervade our environment has become a reality. Drones and ground robots are used for commercial purposes while semi-autonomous driving systems are standard accessories to traditional cars. However, while our eyes have been riveted on dangers and accidents arising from drones","Control manipulation when contact, friction, and local geometry dominate outcomes.",Contact-state or tactile representation used to guide manipulation.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Contact mode is stable enough for local action maps to be useful. Friction and compliance do not dominate action semantics.,"Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Friction, compliance, and contact mode.",Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W3174411578
596,landscape_1000,ProVAR assistive robot system architecture,2003,,H. F. Machiel Van der Loos; J.J. Wagner; N. Smaby; Kyung Won Chang; Omar Correa Madrigal; Larry Leifer; Oussama Khatib,https://doi.org/10.1109/robot.1999.770063,https://doi.org/10.1109/robot.1999.770063,63,operational space control robot manipulation,Robot; Interface (matter); Computer science; Humancomputer interaction; Mechatronics; Task (project management); Object (grammar); User interface; Architecture; Robot control,sim-to-real transfer,38.159,This paper describes the implementation of a robot control architecture designed to combine a manipulation task design environment with a motion controller that uses the operational space formulation to define and implement arm trajectories and object manipulation. The ProVAR desktop manipulation system is an assistive,Make policies trained in simulation work on physical robots.,Task-space or Jacobian-based controller translating desired motion into robot commands.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Closest mechanism overlap: already maps task motion through robot Jacobians.,https://openalex.org/W2114788085
597,landscape_1000,Service Robots Rising: How Humanoid Robots Influence Service Experiences and Elicit Compensatory Consumer Responses,2019,Journal of Marketing Research,Martin Mende; Maura L. Scott; Jenny van Doorn; Dhruv Grewal; Ilana Shanks,https://doi.org/10.1177/0022243718822827,https://doi.org/10.1177/0022243718822827,1100,contact rich manipulation robot learning; domain randomization robot manipulation; operational space control robot manipulation; task space control robot learning,Service (business); Business; Belongingness; Purchasing; Consumption (sociology); Psychology; Marketing; Order (exchange); Service provider; Social psychology,cross-embodiment and morphology transfer,38.154,"Interactions between consumers and humanoid service robots (HSRs; i.e., robots with a human-like morphology such as a face, arms, and legs) will soon be part of routine marketplace experiences. It is unclear, however, whether these humanoid robots (compared with human employees) will trigger positive or","Transfer skills when kinematics, dynamics, or morphology differ.","Morphology-conditioned dynamics, policy, or representation for transferring behavior across bodies.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. A static morphology descriptor is enough to decode actions. Transfer error is mostly a policy-generalization problem.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of morphology-aware transfer; leaves open local task-effect normalization rules.,A nonlearned local renormalization rule with a checkable preservation claim.,Closest conceptual threat: explicitly studies body differences.,https://openalex.org/W2941128398
598,landscape_1000,A Cartesian 6-DoF Gaze Controller for Humanoid Robots,2016,,Alessandro Roncone; Ugo Pattacini; Giorgio Metta; Lorenzo Natale,https://doi.org/10.15607/rss.2016.xii.022,https://doi.org/10.15607/rss.2016.xii.022,73,robot controller transfer different kinematics,Humanoid robot; Gaze; Computer science; Cartesian coordinate system; Robot; Computer vision; Controller (irrigation); Artificial intelligence; Control theory (sociology); Humancomputer interaction,general robot learning,38.104,"In robotic systems with moving cameras control of gaze allows for image stabilization, tracking and attention switching. Proper integration of these capabilities lets the robot exploit the kinematic redundancy of the oculomotor system to improve tracking performance and extend the field of view, while at",Learn reusable embodied behavior under physical constraints.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Embodiment mismatch is a nuisance variable. Policy capacity can learn the right action decoder.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2466053294
599,landscape_1000,"Inverse Kinematics at the Anthropomorphic Robots, by a Trigonometric Method",2017,American Journal of Engineering and Applied Sciences,Relly Victoria Petrescu; Raffaella Aversa; Bilal Akash; Ronald Bucinell; Juan M. Corchado; Filippo Berto; MirMilad Mirsayar; Antonio Apicella; et al.,https://doi.org/10.3844/ajeassp.2017.394.411,https://doi.org/10.3844/ajeassp.2017.394.411,46,robot controller transfer different kinematics,Robot; Robotics; Artificial intelligence; Robot control; Computer science; Remote control; Kinematics; Control engineering; Engineering; Humancomputer interaction,task-space control and kinematics,38.1,A robot is a machine especially programmable one through a computer capable of performing a complex series of actions in the automatic mode. Robots may be guided by a control device or external control may be incorporated in the inside. Robots can be built to,Convert desired task-space motion into feasible low-level robot commands.,Task-space or Jacobian-based controller translating desired motion into robot commands.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Task-space targets are already known and cleanly specified. Singularities and actuator limits can be handled as controller details.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Local Jacobian availability and calibration.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Controller preserves motion but not learned action-token semantics.,Reduces novelty of using Jacobians alone; leaves novelty only for action-space renormalization and cross-embodiment policy semantics.,"How to make the policy action variable itself comparable across embodiments, including infeasible-effect reporting.",Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2611954634
600,landscape_1000,PoCo: Policy Composition from and for Heterogeneous Robot Learning,2024,arXiv (Cornell University),Lirui Wang; Jialiang Zhao; Yilun Du; Edward H. Adelson; Russ Tedrake,https://doi.org/10.48550/arxiv.2402.02511,http://arxiv.org/abs/2402.02511,1,robot policy embodiment agnostic representation,Composition (language); Policy learning; Robot; Computer science; Artificial intelligence; Machine learning; Art; Literature,sim-to-real transfer,38.093,"Training general robotic policies from heterogeneous data for different tasks is a significant challenge. Existing robotic datasets vary in different modalities such as color, depth, tactile, and proprioceptive information, and collected in different domains such as simulation, real robots, and human videos. Current methods usually",Make policies trained in simulation work on physical robots.,Denoising or score-based sequence model over robot actions.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W4391591153
601,landscape_1000,A soft robot that navigates its environment through growth,2017,Science Robotics,Elliot W. Hawkes; Laura H. Blumenschein; Joseph A. Greer; Allison M. Okamura,https://doi.org/10.1126/scirobotics.aan3028,https://doi.org/10.1126/scirobotics.aan3028,931,robot foundation model multi robot data,Robot; Computer science; Humancomputer interaction; Materials science; Artificial intelligence,locomotion transfer,38.087,"Across kingdoms and length scales, certain cells and organisms navigate their environments not through locomotion but through growth. This pattern of movement is found in fungal hyphae, developing neurons, and trailing plants, and is characterized by extension from the tip of the body, length change",Transfer locomotion controllers across bodies and terrains.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Reward structure defines comparable effects across bodies. Gait phases align across morphology.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2737491236
602,landscape_1000,Human-Aware Robot Task Planning Based on a Hierarchical Task Model,2021,IEEE Robotics and Automation Letters,Yujiao Cheng; Liting Sun; Masayoshi Tomizuka,https://doi.org/10.1109/lra.2021.3056370,https://doi.org/10.1109/lra.2021.3056370,55,action abstraction robotics,Task (project management); Computer science; Planner; Robot; Abstraction; Humancomputer interaction; Construct (python library); Artificial intelligence; Task analysis; Humanrobot interaction,sim-to-real transfer,38.075,"When robots work with humans for collaborative task, they need to plan their actions while taking humans' actions into account. However, due to the complexity of the tasks and stochastic nature of human collaborators, it is quite challenging for the robot to efficiently collaborate with",Make policies trained in simulation work on physical robots.,Behavior cloning or imitation learning from demonstrations.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W3127794374
603,landscape_1000,Participatory Research Principles in Human-Centered Design: Engaging Teens in the Co-Design of a Social Robot,2019,Multimodal Technologies and Interaction,Elin A. Bjorling; Emma Rose,https://doi.org/10.3390/mti3010008,https://doi.org/10.3390/mti3010008,134,cross-embodiment robot policy,Participatory design; Citizen journalism; Variety (cybernetics); Participatory action research; Robot; Set (abstract data type); Computer science; Intervention (counseling); Population; Deception,imitation and demonstrations,38.055,"Social robots are emerging as an important intervention for a variety of vulnerable populations. However, engaging participants in the design of social robots in a way that is ethical, meaningful, and rigorous can be challenging. Many current methods in humanrobotic interaction rely on laboratory practices,",Learn robot behavior from demonstrations without expensive reward design.,Behavior cloning or imitation learning from demonstrations.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Demonstration actions are valid labels for the learner body. Covariate shift matters more than action-semantic shift.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2912529695
604,landscape_1000,RealSimReal Transfer for Real-World Robot Control Policy Learning with Deep Reinforcement Learning,2020,Applied Sciences,Naijun Liu; Yinghao Cai; Tao Lu; Rui Wang; Shuo Wang,https://doi.org/10.3390/app10051555,https://doi.org/10.3390/app10051555,29,sim to real robot manipulation policy,Reinforcement learning; Computer science; Artificial intelligence; Robot; Transfer of learning; Control (management); Real world data; Inference; Task (project management); Generalization,sim-to-real transfer,38.001,"Compared to traditional data-driven learning methods, recently developed deep reinforcement learning (DRL) approaches can be employed to train robot agents to obtain control policies with appealing performance. However, learning control policies for real-world robots through DRL is costly and cumbersome. A promising alternative is to",Make policies trained in simulation work on physical robots.,Simulator variation or adaptation meant to make a learned policy robust on real hardware.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W3008492644
605,landscape_1000,Closing the Sim-to-Real Loop: Adapting Simulation Randomization with Real World Experience,2019,,Yevgen Chebotar; Ankur Handa; Viktor Makoviychuk; Miles Macklin; Jan Issac; Nathan Ratliff; Dieter Fox,https://doi.org/10.1109/icra.2019.8793789,https://doi.org/10.1109/icra.2019.8793789,46,sim to real robot manipulation policy,Computer science; Closing (real estate); Loop (graph theory); Matching (statistics); Real-time simulation; Real world data; Transfer (computing); Robot; Randomization; Distribution (mathematics),sim-to-real transfer,38.0,"We consider the problem of transferring policies to the real world by training on a distribution of simulated scenarios. Rather than manually tuning the randomization of simulations, we adapt the simulation parameter distribution using a few real world roll-outs interleaved with policy training. In doing",Make policies trained in simulation work on physical robots.,Simulator variation or adaptation meant to make a learned policy robust on real hardware.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2897345632
606,landscape_1000,A Review of Online Diffusion Policy RL Algorithms for Scalable Robotic Control,2026,Research Square,Wonhyeok Choi; Shutong Ding; Minwoo Choi; Jungwan Woo; Kyumin Hwang; Jaeyeul Kim; Ye Shi; Sunghoon Im,https://doi.org/10.21203/rs.3.rs-9346251/v1,https://doi.org/10.21203/rs.3.rs-9346251/v1,1,robot policy embodiment agnostic representation,Computer science; Scalability; Reinforcement learning; Benchmark (surveying); Software deployment; Artificial intelligence; Machine learning; Field (mathematics); Key (lock); Distributed computing,action representation and sequence policies,37.993,,Represent robot actions so long-horizon manipulation can be learned robustly.,Denoising or score-based sequence model over robot actions.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Action chunks preserve semantics when decoded on another body. Temporal smoothing can compensate for one-step effect mismatch.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Closest action-space threat: changes how action sequences are represented.,https://openalex.org/W7155044878
607,landscape_1000,A robotic platform for the synthesis of colloidal nanocrystals,2023,Nature Synthesis,Haitao Zhao; Wei Chen; Hao Huang; Zhehao Sun; Zijian Chen; Lingjun Wu; Baicheng Zhang; Fuming Lai; et al.,https://doi.org/10.1038/s44160-023-00250-5,https://doi.org/10.1038/s44160-023-00250-5,154,morphology transfer robot learning; robot manipulation action normalization,Nanocrystal; Characterization (materials science); Nanotechnology; Materials science; Computer science; Absorption (acoustics); Key (lock); Computer security; Composite material,cross-embodiment and morphology transfer,37.993,Abstract Morphological control with broad tunability is a primary goal for the synthesis of colloidal nanocrystals with unique physicochemical properties. Here we develop a robotic platform as a substitute for trial-and-error synthesis and labour-intensive characterization to achieve this goal. Gold nanocrystals (with strong visible-light absorption),"Transfer skills when kinematics, dynamics, or morphology differ.","Morphology-conditioned dynamics, policy, or representation for transferring behavior across bodies.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. A static morphology descriptor is enough to decode actions. Transfer error is mostly a policy-generalization problem.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of morphology-aware transfer; leaves open local task-effect normalization rules.,A nonlearned local renormalization rule with a checkable preservation claim.,Closest conceptual threat: explicitly studies body differences.,https://openalex.org/W4322767099
608,landscape_1000,"Hierarchies of Coupled Inverse and Forward Models for Abstraction in Robot Action Planning, Recognition and Imitation",2005,Spiral (Imperial College London),Matthew Johnson; Yiannis Demiris,,http://www.aisb.org.uk/asibpublications/convention-proceedings,18,action abstraction robotics,Imitation; Abstraction; Hierarchy; Computer science; Action (physics); Artificial intelligence; Robot; Object (grammar); Internal model; Inverse dynamics,sim-to-real transfer,37.944,"Coupling internal inverse and forward models gives rise to on-line simulation processes that may be used as a common computational substrate for action execution, planning, recognition, imitation and learning.In this paper, multiple coupled internal inverse and forward models are arranged in a hierarchical fashion, with",Make policies trained in simulation work on physical robots.,Behavior cloning or imitation learning from demonstrations.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W626485522
609,landscape_1000,Morphological Evolution of Physical Robots through Model-Free Phenotype Development,2015,PLoS ONE,Luzius Brodbeck; Simon Hauser; Fumiya Iida,https://doi.org/10.1371/journal.pone.0128444,https://doi.org/10.1371/journal.pone.0128444,95,locomotion morphology transfer robot,Robot; Evolutionary robotics; Computer science; Physical system; Process (computing); Evolutionary algorithm; Artificial intelligence; Evolutionary computation; Simulation; Operating system,cross-embodiment and morphology transfer,37.914,Artificial evolution of physical systems is a stochastic optimization method in which physical machines are iteratively adapted to a target function. The key for a meaningful design optimization is the capability to build variations of physical machines through the course of the evolutionary process. The,"Transfer skills when kinematics, dynamics, or morphology differ.","Morphology-conditioned dynamics, policy, or representation for transferring behavior across bodies.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. A static morphology descriptor is enough to decode actions. Transfer error is mostly a policy-generalization problem.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of morphology-aware transfer; leaves open local task-effect normalization rules.,A nonlearned local renormalization rule with a checkable preservation claim.,Closest conceptual threat: explicitly studies body differences.,https://openalex.org/W1787284831
610,landscape_1000,Sensor-based space robotics-ROTEX and its telerobotic features,1993,IEEE Transactions on Robotics and Automation,G. Hirzinger; B. Brunner; J. Dietrich; J. Heindl,https://doi.org/10.1109/70.258056,https://doi.org/10.1109/70.258056,365,task space control robot learning,Robotics; Artificial intelligence; Robot; Computer science; Computer vision; Teleoperation; Telerobotics; Simulation; Mobile robot,retargeting and teleoperation,37.903,"In early 1993 the space robot technology experiment ROTEX was flown with space-shuttle Columbia. A multisensory robot onboard the spacecraft successfully worked in autonomous modes, teleoperated by astronauts, as well as in different telerobotic ground control modes. These included online teleoperational and telesensor-programming: a task-level","Move demonstrations or commands between human, simulator, and robot bodies.","Kinematic or demonstration retargeting through pose, hand, or end-effector correspondences.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Pose or trajectory retargeting also preserves action effects. Human or source-body kinematics are close enough to the target action manifold.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Correspondence map between source and target limbs.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Retargeted pose matches visually but causes different object motion.,Reduces novelty of source-to-target command mapping; leaves open effect-normalized policy actions rather than pose matching.,How to preserve differential task effects rather than only trajectories or poses.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2101220886
611,landscape_1000,Robo-ABC: Affordance Generalization Beyond Categories via Semantic Correspondence for Robot Manipulation,2024,Lecture notes in computer science,Yuanchen Ju; Kaizhe Hu; Guowei Zhang; Gu Zhang; Mingrun Jiang; Huazhe Xu,https://doi.org/10.1007/978-3-031-72940-9_13,https://doi.org/10.1007/978-3-031-72940-9_13,32,generalist robot policy manipulation,Affordance; Computer science; Generalization; Robot; Artificial intelligence; Humancomputer interaction; Natural language processing; Cognitive science; Mathematics; Psychology,robot manipulation learning,37.897,,Acquire manipulation skills from perception and interaction data.,Perception model predicts action affordances or object-centric interaction labels.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. End-effector commands have comparable authority across arms. Object pose change can be learned without explicit capability normalization.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W4404446892
612,landscape_1000,Geometric scattering in robotic telemanipulation,2002,IEEE Transactions on Robotics and Automation,Stefano Stramigioli; Arjan van der Schaft; Bernhard Maschke; Claudio Melchiorri,https://doi.org/10.1109/tra.2002.802200,https://doi.org/10.1109/tra.2002.802200,130,robot manipulation action normalization,Passivity; Interconnection; Hamiltonian (control theory); Dissipation; Transmission line; Hamiltonian system; Computer science; Robot; Control theory (sociology); Engineering,robot foundation policies,37.875,"In this paper, we study the interconnection of two robots, which are modeled as port-controlled Hamiltonian systems through a transmission line with time delay. There will be no analysis of the time delay, but its presence justifies the use of scattering variables to preserve passivity.","Scale robot policies across tasks, datasets, and robot embodiments.","Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Robot identity tokens and data scale can absorb action-map mismatch. A shared action tensor can be normalized independently of local controllability.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Dataset robot mix and tokenizer design.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Learned robot token hides action incompatibility.,Reduces novelty of large cross-robot policies; challenges claims that data scale alone solves action transfer.,Whether the same model output has comparable physical meaning on robots with different local controllability.,Closest empirical threat: may claim multi-robot data learns embodiment compensation.,https://openalex.org/W2112830075
